year,price,mileage
2013,16.995,80.148
2021,53.877,5.042
2013,12.988,122.069
2022,83.998,3.338
2019,29.428,53.905
2017,25.995,68.62
2021,30,7.065
2020,41.577,4.997
2021,37.7,4.885
2019,52,31.2
2021,45,4.339
2021,99,4.13
2016,15.495,112.225
2022,50.995,2.044
2015,40,10.185
2020,62.197,0.462
2019,29.59,11.88
2013,18.99,77.936
2016,29.595,42.784
2008,31.988,9.887
2020,25.49,57.419
2012,19.59,80.626
2015,23.995,76.946
2021,29.5,18.764
2020,26.5,42.289
2018,35.995,49.074
2020,39.875,16.097
2018,57.99,35.19
2018,29.989,40.881
2015,18.995,104.641
2022,31,1.806
2012,21.845,118.205
2021,47.697,16.221
2012,22.59,96.531
2019,0,60.947
2019,37.995,2.182
2015,36.889,16.334
2021,36.99,10.187
2021,52.5,24.303
2014,28.9,24.489
2022,46.72,4.47
2021,81,0.017
2020,37.187,15.161
2019,21.9,75.843
2020,46.5,1.581
2017,32.45,67.093
2019,73,10.23
2021,35.45,22.531
2010,31.95,7.022
2020,67.9,2.083
2019,0,51.192
2010,16.99,85.475
2018,37.842,35.565
2021,44.969,6.946
2018,37.997,26.665
2012,16.995,67.071
2014,27.59,44.889
2019,31.994,16.461
2020,36.987,10.201
2015,17.995,103.101
2018,28.9,47.669
2019,22.995,44.588
2020,50.79,26.112
2019,32.494,24.236
2018,36.399,45.621
2018,25.71,61.238
2011,31.9,20.564
2021,50.597,10.535
2019,26.48,62.457
2015,32.675,33.309
2020,27.699,62.332
2019,24.877,38.418
2020,43.997,10.804
2020,43.995,15.716
2017,27.49,68.61
2021,38,11.903
2018,40.494,24.518
2020,71.3,8.71
2018,25.998,64.955
2022,41.42,5.21
2020,44.95,53.167
2013,23.995,10.69
2014,18.894,42.652
2018,34.575,18.426
2017,25.99,19.589
2019,40.997,35.238
2021,45.001,3.161
2016,29.989,59.327
2020,29,61.111
2019,44.999,19.717
2008,25.5,21.761
2022,39.992,6.245
2019,43,12.574
2018,35.59,17.333
2017,38.78,28.32
2010,24.949,19.104
2021,33.79,27.46
2019,30.59,17.837
2016,59.99,6.223
2020,56.99,12.286
2016,29.599,86.606
2021,60.7,4.591
2010,20,58.925
2020,31.271,4.217
2022,34.5,12.653
2013,14.99,100.647
2015,29.977,15.563
2020,31.998,5.797
